SuperWEB2(tm)

"General Household Survey 2018"
"Usage of piped or tapwater, Safe to drink, Treatment of drinking water, Water supply interruption, PROVINCES, Population group and Metro Code by Summation Options"
"Counting: Person information, Person Weight"

,,,,,,"Summation Options","Person information","Person Weight",
"Usage of piped or tapwater","Safe to drink","Treatment of drinking water","Water supply interruption","PROVINCES","Population group","Metro Code",
,,,,,,"MP-Non Metro",89,67379.350136,
,,,,,,"LP-Non Metro",9,6422.9154076,
,,,,,"Coloured","WC-Non Metro",9,5934.752754,
,,,,,,"WC-City of Capet own",14,12158.6840643,
,,,,,,"EC-Nelson Mandela Bay",3,2329.7112753,
,,,,,,"NC-Non Metro",48,20395.4574013,
,,,,,,"FS-Non Metro",4,2632.0768927,
,,,,,"Indian/Asian","FS-Non Metro",1,837.5546075,
,,,,,"White","EC-Nelson Mandela Bay",2,1838.954524,
,,,,,,"FS-Non Metro",5,3590.7119159,
,,,,,,"NW-Non Metro",1,821.1874734,
,,,,,,"MP-Non Metro",7,6494.1747467,
,,,,,,"LP-Non Metro",3,3042.4320099,
,,,"No","Western Cape","Coloured","WC-Non Metro",33,41395.1677936,
,,,,,,"WC-City of Capet own",4,2802.48898,
,,,,,"White","WC-City of Capet own",6,6194.1201251,
,,,,"Eastern Cape","African/Black","EC-Non Metro",3,1477.6401457,
,,,,,,"EC-Nelson Mandela Bay",3,2930.6399393,
,,,,,"Coloured","EC-Buffalo City",4,2282.4996648,
,,,,,,"EC-Nelson Mandela Bay",3,1394.2427885,
,,,,,"White","EC-Nelson Mandela Bay",4,2564.8258943,
,,,,"Northern Cape","African/Black","NC-Non Metro",5,1243.5757053,
,,,,,"Coloured","NC-Non Metro",5,2164.0673975,
,,,,"Free State","African/Black","FS-Non Metro",35,21615.3517535,
,,,,"North West","African/Black","NW-Non Metro",5,3006.0608431,
,,,,"Gauteng","African/Black","GP-Non Metro",1,907.705054,
,,,,,,"GP-City of Johannesburg",2,1773.6711172,
,,,,,,"GP-City of Tswane",10,6171.3178711,
,,,,,"White","GP-City of Johannesburg",2,3709.2217202,
,,,,"Mpumalanga","African/Black","MP-Non Metro",28,21407.7196396,
,,,,,"White","MP-Non Metro",9,7942.5979088,
,,,,"Limpopo","African/Black","LP-Non Metro",1,447.9826921,
,,,,"Total","African/Black","EC-Non Metro",3,1477.6401457,
,,,,,,"EC-Nelson Mandela Bay",3,2930.6399393,
,,,,,,"NC-Non Metro",5,1243.5757053,
,,,,,,"FS-Non Metro",35,21615.3517535,
,,,,,,"NW-Non Metro",5,3006.0608431,
,,,,,,"GP-Non Metro",1,907.705054,
,,,,,,"GP-City of Johannesburg",2,1773.6711172,
,,,,,,"GP-City of Tswane",10,6171.3178711,
,,,,,,"MP-Non Metro",28,21407.7196396,
,,,,,,"LP-Non Metro",1,447.9826921,
,,,,,"Coloured","WC-Non Metro",33,41395.1677936,
,,,,,,"WC-City of Capet own",4,2802.48898,
,,,,,,"EC-Buffalo City",4,2282.4996648,
,,,,,,"EC-Nelson Mandela Bay",3,1394.2427885,
,,,,,,"NC-Non Metro",5,2164.0673975,
,,,,,"White","WC-City of Capet own",6,6194.1201251,
,,,,,,"EC-Nelson Mandela Bay",4,2564.8258943,
,,,,,,"GP-City of Johannesburg",2,3709.2217202,
,,,,,,"MP-Non Metro",9,7942.5979088,
,,,"Not applicable","Western Cape","White","WC-City of Capet own",4,3331.9819334,
,,,,"Eastern Cape","African/Black","EC-Non Metro",7,5670.1498352,
,,,,"Northern Cape","African/Black","NC-Non Metro",2,420.2729031,
,,,,,"Coloured","NC-Non Metro",1,357.5965597,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",9,5141.909616,
,,,,"North West","African/Black","NW-Non Metro",7,8132.6742462,
,,,,"Gauteng","African/Black","GP-City of Tswane",4,2274.6394371,
,,,,"Mpumalanga","African/Black","MP-Non Metro",8,5960.2678138,
,,,,"Limpopo","African/Black","LP-Non Metro",17,10208.0636281,
,,,,"Total","African/Black","EC-Non Metro",7,5670.1498352,
,,,,,,"NC-Non Metro",2,420.2729031,
,,,,,,"KZN-Non Metro",9,5141.909616,
,,,,,,"NW-Non Metro",7,8132.6742462,
,,,,,,"GP-City of Tswane",4,2274.6394371,
,,,,,,"MP-Non Metro",8,5960.2678138,
,,,,,,"LP-Non Metro",17,10208.0636281,
,,,,,"Coloured","NC-Non Metro",1,357.5965597,
,,,,,"White","WC-City of Capet own",4,3331.9819334,
,,"No, never","Yes","Western Cape","African/Black","WC-City of Capet own",5,5660.3861309,
,,,,,"Coloured","WC-Non Metro",4,4110.8340932,
,,,,,,"WC-City of Capet own",35,31317.8820416,
,,,,,"White","WC-Non Metro",4,2969.8285866,
,,,,,,"WC-City of Capet own",14,15912.2263806,
,,,,"Eastern Cape","African/Black","EC-Non Metro",46,30774.1015691,
,,,,,,"EC-Nelson Mandela Bay",2,1331.3061199,
,,,,,"Coloured","EC-Non Metro",2,1783.7214048,
,,,,,,"EC-Nelson Mandela Bay",5,4187.2114035,
,,,,"Northern Cape","African/Black","NC-Non Metro",79,27545.1938977,
,,,,,"Coloured","NC-Non Metro",20,8554.4398477,
,,,,,"Indian/Asian","NC-Non Metro",1,259.5177138,
,,,,,"White","NC-Non Metro",12,5223.5982761,
,,,,"Free State","African/Black","FS-Non Metro",57,32354.6385023,
,,,,,,"FS-Mangaung",1,486.8832147,
,,,,,"Coloured","FS-Non Metro",2,853.373093,
,,,,,"White","FS-Non Metro",2,2039.359448,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",18,14792.1044315,
,,,,,,"KZN-eThekwini",1,1074.5843947,
,,,,,"Indian/Asian","KZN-Non Metro",4,1001.3021556,
,,,,"North West","African/Black","NW-Non Metro",60,50325.8994463,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",4,3130.3969271,
,,,,,,"GP-City of Tswane",100,93132.3922281,
,,,,,"Coloured","GP-City of Tswane",3,5092.1060157,
,,,,,"White","GP-Non Metro",3,1997.8809704,
,,,,"Mpumalanga","African/Black","MP-Non Metro",76,50551.236463,
,,,,,"Indian/Asian","MP-Non Metro",5,6621.3811579,
,,,,,"White","MP-Non Metro",13,18068.6107043,
,,,,"Limpopo","African/Black","LP-Non Metro",8,6802.4451671,
,,,,"Total","African/Black","WC-City of Capet own",5,5660.3861309,
,,,,,,"EC-Non Metro",46,30774.1015691,
,,,,,,"EC-Nelson Mandela Bay",2,1331.3061199,
,,,,,,"NC-Non Metro",79,27545.1938977,
,,,,,,"FS-Non Metro",57,32354.6385023,
,,,,,,"FS-Mangaung",1,486.8832147,
,,,,,,"KZN-Non Metro",18,14792.1044315,
,,,,,,"KZN-eThekwini",1,1074.5843947,
,,,,,,"NW-Non Metro",60,50325.8994463,
,,,,,,"GP-City of Johannesburg",4,3130.3969271,
,,,,,,"GP-City of Tswane",100,93132.3922281,
,,,,,,"MP-Non Metro",76,50551.236463,
,,,,,,"LP-Non Metro",8,6802.4451671,
,,,,,"Coloured","WC-Non Metro",4,4110.8340932,
,,,,,,"WC-City of Capet own",35,31317.8820416,
,,,,,,"EC-Non Metro",2,1783.7214048,
,,,,,,"EC-Nelson Mandela Bay",5,4187.2114035,
,,,,,,"NC-Non Metro",20,8554.4398477,
,,,,,,"FS-Non Metro",2,853.373093,
,,,,,,"GP-City of Tswane",3,5092.1060157,
,,,,,"Indian/Asian","NC-Non Metro",1,259.5177138,
,,,,,,"KZN-Non Metro",4,1001.3021556,
,,,,,,"MP-Non Metro",5,6621.3811579,
,,,,,"White","WC-Non Metro",4,2969.8285866,
,,,,,,"WC-City of Capet own",14,15912.2263806,
,,,,,,"NC-Non Metro",12,5223.5982761,
,,,,,,"FS-Non Metro",2,2039.359448,
,,,,,,"GP-Non Metro",3,1997.8809704,
,,,,,,"MP-Non Metro",13,18068.6107043,
,,,"No","Western Cape","African/Black","WC-City of Capet own",58,62204.7191952,
,,,,,"Coloured","WC-Non Metro",17,12060.1985182,
,,,,,,"WC-City of Capet own",45,37647.0039504,
,,,,,"White","WC-City of Capet own",22,23925.6665625,
,,,,"Eastern Cape","African/Black","EC-Non Metro",3,1583.0553707,
,,,,,,"EC-Buffalo City",10,6552.6267912,
,,,,,,"EC-Nelson Mandela Bay",12,8706.9573036,
,,,,,"Coloured","EC-Non Metro",6,6371.9526318,
,,,,,,"EC-Nelson Mandela Bay",9,5736.2571605,
,,,,,"White","EC-Non Metro",6,5048.0267798,
,,,,,,"EC-Nelson Mandela Bay",15,14276.3833577,
,,,,"Northern Cape","African/Black","NC-Non Metro",4,1990.8731397,
,,,,,"Coloured","NC-Non Metro",3,955.6774763,
,,,,"Free State","African/Black","FS-Non Metro",22,12151.3140065,
,,,,,,"FS-Mangaung",4,3231.3517221,
,,,,,"Coloured","FS-Non Metro",1,333.380899,
,,,,,"White","FS-Non Metro",5,4191.5333954,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",12,14169.0393487,
,,,,,,"KZN-eThekwini",4,3794.1828075,
,,,,,"Coloured","KZN-eThekwini",1,594.5303436,
,,,,,"Indian/Asian","KZN-Non Metro",2,597.1739518,
,,,,,,"KZN-eThekwini",2,2626.5768604,
,,,,"North West","African/Black","NW-Non Metro",36,33450.7715997,
,,,,,"White","NW-Non Metro",2,2170.5025934,
,,,,"Gauteng","African/Black","GP-Erkurhuleni",15,10599.3152085,
,,,,,,"GP-City of Johannesburg",11,11316.6656159,
,,,,,,"GP-City of Tswane",19,14805.6929833,
,,,,,"White","GP-City of Tswane",6,11617.5697074,
,,,,"Mpumalanga","African/Black","MP-Non Metro",26,18814.6833702,
,,,,,"White","MP-Non Metro",3,2886.0498376,
,,,,"Limpopo","African/Black","LP-Non Metro",9,7353.7311958,
,,,,"Total","African/Black","WC-City of Capet own",58,62204.7191952,
,,,,,,"EC-Non Metro",3,1583.0553707,
,,,,,,"EC-Buffalo City",10,6552.6267912,
,,,,,,"EC-Nelson Mandela Bay",12,8706.9573036,
,,,,,,"NC-Non Metro",4,1990.8731397,
,,,,,,"FS-Non Metro",22,12151.3140065,
,,,,,,"FS-Mangaung",4,3231.3517221,
,,,,,,"KZN-Non Metro",12,14169.0393487,
,,,,,,"KZN-eThekwini",4,3794.1828075,
,,,,,,"NW-Non Metro",36,33450.7715997,
,,,,,,"GP-Erkurhuleni",15,10599.3152085,
,,,,,,"GP-City of Johannesburg",11,11316.6656159,
,,,,,,"GP-City of Tswane",19,14805.6929833,
,,,,,,"MP-Non Metro",26,18814.6833702,
,,,,,,"LP-Non Metro",9,7353.7311958,
,,,,,"Coloured","WC-Non Metro",17,12060.1985182,
,,,,,,"WC-City of Capet own",45,37647.0039504,
,,,,,,"EC-Non Metro",6,6371.9526318,
,,,,,,"EC-Nelson Mandela Bay",9,5736.2571605,
,,,,,,"NC-Non Metro",3,955.6774763,
,,,,,,"FS-Non Metro",1,333.380899,
,,,,,,"KZN-eThekwini",1,594.5303436,
,,,,,"Indian/Asian","KZN-Non Metro",2,597.1739518,
,,,,,,"KZN-eThekwini",2,2626.5768604,
,,,,,"White","WC-City of Capet own",22,23925.6665625,
,,,,,,"EC-Non Metro",6,5048.0267798,
,,,,,,"EC-Nelson Mandela Bay",15,14276.3833577,
,,,,,,"FS-Non Metro",5,4191.5333954,
,,,,,,"NW-Non Metro",2,2170.5025934,
,,,,,,"GP-City of Tswane",6,11617.5697074,
,,,,,,"MP-Non Metro",3,2886.0498376,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",16,6913.4080168,
,,,,"Northern Cape","African/Black","NC-Non Metro",2,700.3979292,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",38,31800.5354355,
,,,,,"White","KZN-Non Metro",1,589.0677889,
,,,,"North West","African/Black","NW-Non Metro",24,21525.5682648,
,,,,,"Coloured","NW-Non Metro",1,455.847224,
,,,,"Gauteng","African/Black","GP-City of Tswane",9,4970.5388035,
,,,,"Mpumalanga","African/Black","MP-Non Metro",56,44843.0518886,
,,,,"Limpopo","African/Black","LP-Non Metro",53,35298.624577,
,,,,"Total","African/Black","EC-Non Metro",16,6913.4080168,
,,,,,,"NC-Non Metro",2,700.3979292,
,,,,,,"KZN-Non Metro",38,31800.5354355,
,,,,,,"NW-Non Metro",24,21525.5682648,
,,,,,,"GP-City of Tswane",9,4970.5388035,
,,,,,,"MP-Non Metro",56,44843.0518886,
,,,,,,"LP-Non Metro",53,35298.624577,
,,,,,"Coloured","NW-Non Metro",1,455.847224,
,,,,,"White","KZN-Non Metro",1,589.0677889,
,,,"Unspecified","Mpumalanga","African/Black","MP-Non Metro",3,2351.9897251,
,,,,"Total","African/Black","MP-Non Metro",3,2351.9897251,
,,"Unspecified","Yes","Free State","African/Black","FS-Non Metro",1,727.8883422,
,,,,"North West","African/Black","NW-Non Metro",2,2414.8854474,
,,,,"Gauteng","White","GP-City of Johannesburg",3,7781.8193775,
,,,,"Mpumalanga","African/Black","MP-Non Metro",5,8239.7488549,
,,,,"Total","African/Black","FS-Non Metro",1,727.8883422,
,,,,,,"NW-Non Metro",2,2414.8854474,
,,,,,,"MP-Non Metro",5,8239.7488549,
,,,,,"White","GP-City of Johannesburg",3,7781.8193775,
,,,"No","Western Cape","White","WC-City of Capet own",1,1123.7546024,
,,,,"Mpumalanga","African/Black","MP-Non Metro",3,1950.1092433,
,,,,"Total","African/Black","MP-Non Metro",3,1950.1092433,
,,,,,"White","WC-City of Capet own",1,1123.7546024,
,,,"Not applicable","Mpumalanga","African/Black","MP-Non Metro",4,2641.5909134,
,,,,"Limpopo","African/Black","LP-Non Metro",6,4494.9744824,
,,,,"Total","African/Black","MP-Non Metro",4,2641.5909134,
,,,,,,"LP-Non Metro",6,4494.9744824,
,"Unspecified","Yes, always","No","Gauteng","African/Black","GP-City of Johannesburg",2,2383.9271578,
,,,,"Total","African/Black","GP-City of Johannesburg",2,2383.9271578,
,,"No, never","Yes","Free State","African/Black","FS-Non Metro",3,1878.2421426,
,,,,,,"FS-Mangaung",21,13498.8862494,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",4,2608.8291956,
,,,,"North West","African/Black","NW-Non Metro",5,4644.5410806,
,,,,"Gauteng","African/Black","GP-Erkurhuleni",1,789.0114758,
,,,,,,"GP-City of Johannesburg",10,7134.889331,
,,,,,,"GP-City of Tswane",1,878.9531914,
,,,,"Mpumalanga","African/Black","MP-Non Metro",20,15652.6265429,
,,,,"Limpopo","African/Black","LP-Non Metro",9,5814.5137699,
,,,,"Total","African/Black","FS-Non Metro",3,1878.2421426,
,,,,,,"FS-Mangaung",21,13498.8862494,
,,,,,,"KZN-Non Metro",4,2608.8291956,
,,,,,,"NW-Non Metro",5,4644.5410806,
,,,,,,"GP-Erkurhuleni",1,789.0114758,
,,,,,,"GP-City of Johannesburg",10,7134.889331,
,,,,,,"GP-City of Tswane",1,878.9531914,
,,,,,,"MP-Non Metro",20,15652.6265429,
,,,,,,"LP-Non Metro",9,5814.5137699,
,,,"No","Western Cape","Coloured","WC-Non Metro",4,3212.8557466,
,,,,,,"WC-City of Capet own",6,4452.3289276,
,,,,"Eastern Cape","African/Black","EC-Non Metro",4,2129.372273,
,,,,"Free State","African/Black","FS-Mangaung",2,1339.9097037,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",1,666.2482976,
,,,,"North West","African/Black","NW-Non Metro",4,3905.5118472,
,,,,"Gauteng","African/Black","GP-Erkurhuleni",24,20800.131991,
,,,,,,"GP-City of Johannesburg",11,11625.1066158,
,,,,,,"GP-City of Tswane",9,6882.0089232,
,,,,,"Coloured","GP-Erkurhuleni",1,1021.2576545,
,,,,,"White","GP-City of Tswane",2,4469.850669,
,,,,"Limpopo","African/Black","LP-Non Metro",2,1246.735818,
,,,,"Total","African/Black","EC-Non Metro",4,2129.372273,
,,,,,,"FS-Mangaung",2,1339.9097037,
,,,,,,"KZN-Non Metro",1,666.2482976,
,,,,,,"NW-Non Metro",4,3905.5118472,
,,,,,,"GP-Erkurhuleni",24,20800.131991,
,,,,,,"GP-City of Johannesburg",11,11625.1066158,
,,,,,,"GP-City of Tswane",9,6882.0089232,
,,,,,,"LP-Non Metro",2,1246.735818,
,,,,,"Coloured","WC-Non Metro",4,3212.8557466,
,,,,,,"WC-City of Capet own",6,4452.3289276,
,,,,,,"GP-Erkurhuleni",1,1021.2576545,
,,,,,"White","GP-City of Tswane",2,4469.850669,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",1,420.5142674,
,,,,"Limpopo","African/Black","LP-Non Metro",8,4253.064249,
,,,,"Total","African/Black","EC-Non Metro",1,420.5142674,
,,,,,,"LP-Non Metro",8,4253.064249,
,,"Unspecified","Yes","KwaZulu-Natal","African/Black","KZN-Non Metro",3,1413.5771923,
,,,,,,"KZN-eThekwini",2,1436.7431029,
,,,,"Gauteng","African/Black","GP-Erkurhuleni",1,1059.0648054,
,,,,"Limpopo","African/Black","LP-Non Metro",5,3853.7936797,
,,,,"Total","African/Black","KZN-Non Metro",3,1413.5771923,
,,,,,,"KZN-eThekwini",2,1436.7431029,
,,,,,,"GP-Erkurhuleni",1,1059.0648054,
,,,,,,"LP-Non Metro",5,3853.7936797,
,,,"No","Western Cape","African/Black","WC-City of Capet own",2,2175.738237,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",4,11385.7897716,
,,,,"Total","African/Black","WC-City of Capet own",2,2175.738237,
,,,,,,"GP-City of Johannesburg",4,11385.7897716,
,,,"Not applicable","North West","African/Black","NW-Non Metro",5,4840.9369358,
,,,,"Total","African/Black","NW-Non Metro",5,4840.9369358,
,,,"Unspecified","Western Cape","African/Black","WC-City of Capet own",1,843.007926,
,,,,"Eastern Cape","African/Black","EC-Buffalo City",3,1623.4998442,
,,,,"Gauteng","African/Black","GP-Erkurhuleni",3,1671.3843222,
,,,,,,"GP-City of Johannesburg",7,8104.0909207,
,,,,"Mpumalanga","African/Black","MP-Non Metro",9,5131.8144179,
,,,,"Limpopo","African/Black","LP-Non Metro",5,3308.1685146,
,,,,"Total","African/Black","WC-City of Capet own",1,843.007926,
,,,,,,"EC-Buffalo City",3,1623.4998442,
,,,,,,"GP-Erkurhuleni",3,1671.3843222,
,,,,,,"GP-City of Johannesburg",7,8104.0909207,
,,,,,,"MP-Non Metro",9,5131.8144179,
,,,,,,"LP-Non Metro",5,3308.1685146,
"Unspecified","Yes","Yes, always","No","Free State","African/Black","FS-Non Metro",1,546.2976449,
,,,,"Gauteng","African/Black","GP-City of Tswane",2,2775.1057612,
,,,,"Total","African/Black","FS-Non Metro",1,546.2976449,
,,,,,,"GP-City of Tswane",2,2775.1057612,
,,,"Not applicable","Free State","African/Black","FS-Non Metro",4,3291.683536,
,,,,,"White","FS-Non Metro",4,3601.7514843,
,,,,"North West","African/Black","NW-Non Metro",2,2340.8675854,
,,,,"Total","African/Black","FS-Non Metro",4,3291.683536,
,,,,,,"NW-Non Metro",2,2340.8675854,
,,,,,"White","FS-Non Metro",4,3601.7514843,
,,"Yes, sometimes","Yes","Free State","African/Black","FS-Non Metro",2,712.5399812,
,,,,,"White","FS-Non Metro",2,1477.3557227,
,,,,"Mpumalanga","African/Black","MP-Non Metro",9,6211.4249478,
,,,,"Total","African/Black","FS-Non Metro",2,712.5399812,
,,,,,,"MP-Non Metro",9,6211.4249478,
,,,,,"White","FS-Non Metro",2,1477.3557227,
,,,"No","Free State","African/Black","FS-Non Metro",2,2478.2882564,
,,,,"Mpumalanga","African/Black","MP-Non Metro",5,2176.704096,
,,,,"Total","African/Black","FS-Non Metro",2,2478.2882564,
,,,,,,"MP-Non Metro",5,2176.704096,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",9,3989.500978,
,,,,"Mpumalanga","African/Black","MP-Non Metro",8,7079.6255318,
,,,,"Total","African/Black","EC-Non Metro",9,3989.500978,
,,,,,,"MP-Non Metro",8,7079.6255318,
,,"No, never","Yes","Eastern Cape","African/Black","EC-Non Metro",13,5805.1362019,
,,,,,,"EC-Buffalo City",4,3270.2005684,
,,,,,"Coloured","EC-Non Metro",5,6164.345349,
,,,,"Northern Cape","African/Black","NC-Non Metro",4,1366.7445745,
,,,,,"Coloured","NC-Non Metro",4,1094.1601909,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",56,37320.1678249,
,,,,,,"KZN-eThekwini",2,3896.637674,
,,,,"North West","African/Black","NW-Non Metro",6,3973.3573281,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",1,841.5564875,
,,,,,,"GP-City of Tswane",15,15980.9099944,
,,,,"Mpumalanga","African/Black","MP-Non Metro",20,13220.6164487,
,,,,"Limpopo","African/Black","LP-Non Metro",43,30626.4463098,
,,,,"Total","African/Black","EC-Non Metro",13,5805.1362019,
,,,,,,"EC-Buffalo City",4,3270.2005684,
,,,,,,"NC-Non Metro",4,1366.7445745,
,,,,,,"KZN-Non Metro",56,37320.1678249,
,,,,,,"KZN-eThekwini",2,3896.637674,
,,,,,,"NW-Non Metro",6,3973.3573281,
,,,,,,"GP-City of Johannesburg",1,841.5564875,
,,,,,,"GP-City of Tswane",15,15980.9099944,
,,,,,,"MP-Non Metro",20,13220.6164487,
,,,,,,"LP-Non Metro",43,30626.4463098,
,,,,,"Coloured","EC-Non Metro",5,6164.345349,
,,,,,,"NC-Non Metro",4,1094.1601909,
,,,"No","Western Cape","African/Black","WC-Non Metro",5,4261.5203781,
,,,,,,"WC-City of Capet own",3,1917.6928012,
,,,,,"Coloured","WC-City of Capet own",6,3142.6856814,
,,,,"Free State","African/Black","FS-Non Metro",8,6655.9492455,
,,,,,,"FS-Mangaung",2,1742.6223838,
,,,,,"Coloured","FS-Non Metro",4,4448.9374872,
,,,,,,"FS-Mangaung",4,3012.8468596,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",51,43869.9325923,
,,,,,,"KZN-eThekwini",3,3400.3967355,
,,,,,"Indian/Asian","KZN-eThekwini",3,3893.2743765,
,,,,"North West","African/Black","NW-Non Metro",2,1819.4928028,
,,,,"Gauteng","African/Black","GP-Non Metro",2,1917.8561423,
,,,,,,"GP-Erkurhuleni",37,29019.2776827,
,,,,,,"GP-City of Johannesburg",7,4532.4856111,
,,,,,,"GP-City of Tswane",23,21271.8324584,
,,,,,"White","GP-City of Tswane",2,2598.3952156,
,,,,"Mpumalanga","African/Black","MP-Non Metro",14,11116.6343006,
,,,,"Limpopo","African/Black","LP-Non Metro",13,16086.5578465,
,,,,"Total","African/Black","WC-Non Metro",5,4261.5203781,
,,,,,,"WC-City of Capet own",3,1917.6928012,
,,,,,,"FS-Non Metro",8,6655.9492455,
,,,,,,"FS-Mangaung",2,1742.6223838,
,,,,,,"KZN-Non Metro",51,43869.9325923,
,,,,,,"KZN-eThekwini",3,3400.3967355,
,,,,,,"NW-Non Metro",2,1819.4928028,
,,,,,,"GP-Non Metro",2,1917.8561423,
,,,,,,"GP-Erkurhuleni",37,29019.2776827,
,,,,,,"GP-City of Johannesburg",7,4532.4856111,
,,,,,,"GP-City of Tswane",23,21271.8324584,
,,,,,,"MP-Non Metro",14,11116.6343006,
,,,,,,"LP-Non Metro",13,16086.5578465,
,,,,,"Coloured","WC-City of Capet own",6,3142.6856814,
,,,,,,"FS-Non Metro",4,4448.9374872,
,,,,,,"FS-Mangaung",4,3012.8468596,
,,,,,"Indian/Asian","KZN-eThekwini",3,3893.2743765,
,,,,,"White","GP-City of Tswane",2,2598.3952156,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",57,42883.7874956,
,,,,,,"EC-Buffalo City",2,1555.8252171,
,,,,,"Coloured","EC-Non Metro",4,1968.8035378,
,,,,,"White","EC-Non Metro",4,3890.8077203,
,,,,"Northern Cape","Coloured","NC-Non Metro",4,1385.6191522,
,,,,"Free State","African/Black","FS-Non Metro",11,8682.1798189,
,,,,,,"FS-Mangaung",2,2013.6881128,
,,,,,"Coloured","FS-Non Metro",5,4355.9245466,
,,,,,"White","FS-Non Metro",1,710.6685116,
,,,,,,"FS-Mangaung",11,12109.0050174,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",89,69863.5652253,
,,,,"North West","African/Black","NW-Non Metro",41,40131.3952723,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",1,798.8196886,
,,,,,,"GP-City of Tswane",14,10082.3159886,
,,,,,"White","GP-Non Metro",4,7833.9011556,
,,,,,,"GP-City of Tswane",2,1677.9680898,
,,,,"Mpumalanga","African/Black","MP-Non Metro",18,12703.2062441,
,,,,,"White","MP-Non Metro",7,7626.3818036,
,,,,"Limpopo","African/Black","LP-Non Metro",209,135244.5903459,
,,,,,"Indian/Asian","LP-Non Metro",1,892.6269309,
,,,,,"White","LP-Non Metro",3,1929.3316401,
,,,,"Total","African/Black","EC-Non Metro",57,42883.7874956,
,,,,,,"EC-Buffalo City",2,1555.8252171,
,,,,,,"FS-Non Metro",11,8682.1798189,
,,,,,,"FS-Mangaung",2,2013.6881128,
,,,,,,"KZN-Non Metro",89,69863.5652253,
,,,,,,"NW-Non Metro",41,40131.3952723,
,,,,,,"GP-City of Johannesburg",1,798.8196886,
,,,,,,"GP-City of Tswane",14,10082.3159886,
,,,,,,"MP-Non Metro",18,12703.2062441,
,,,,,,"LP-Non Metro",209,135244.5903459,
,,,,,"Coloured","EC-Non Metro",4,1968.8035378,
,,,,,,"NC-Non Metro",4,1385.6191522,
,,,,,,"FS-Non Metro",5,4355.9245466,
,,,,,"Indian/Asian","LP-Non Metro",1,892.6269309,
,,,,,"White","EC-Non Metro",4,3890.8077203,
,,,,,,"FS-Non Metro",1,710.6685116,
,,,,,,"FS-Mangaung",11,12109.0050174,
,,,,,,"GP-Non Metro",4,7833.9011556,
,,,,,,"GP-City of Tswane",2,1677.9680898,
,,,,,,"MP-Non Metro",7,7626.3818036,
,,,,,,"LP-Non Metro",3,1929.3316401,
,,,"Unspecified","Limpopo","African/Black","LP-Non Metro",5,2989.2908382,
,,,,"Total","African/Black","LP-Non Metro",5,2989.2908382,
,,"Unspecified","No","Eastern Cape","African/Black","EC-Non Metro",4,1855.8483952,
,,,,"Total","African/Black","EC-Non Metro",4,1855.8483952,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",1,420.0549869,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",4,4165.2287916,
,,,,"Mpumalanga","African/Black","MP-Non Metro",10,10616.054901,
,,,,"Limpopo","African/Black","LP-Non Metro",23,20657.1260046,
,,,,"Total","African/Black","EC-Non Metro",1,420.0549869,
,,,,,,"KZN-Non Metro",4,4165.2287916,
,,,,,,"MP-Non Metro",10,10616.054901,
,,,,,,"LP-Non Metro",23,20657.1260046,
,"No","Yes, always","Yes","Mpumalanga","African/Black","MP-Non Metro",1,729.4852651,
,,,,"Total","African/Black","MP-Non Metro",1,729.4852651,
,,,"Not applicable","KwaZulu-Natal","African/Black","KZN-Non Metro",7,4918.1781206,
,,,,"Total","African/Black","KZN-Non Metro",7,4918.1781206,
,,"Yes, sometimes","Yes","Mpumalanga","African/Black","MP-Non Metro",10,5940.0207341,
,,,,"Total","African/Black","MP-Non Metro",10,5940.0207341,
,,,"Not applicable","Northern Cape","African/Black","NC-Non Metro",3,1594.5496805,
,,,,"Free State","African/Black","FS-Non Metro",2,929.7262629,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",18,9712.4903922,
,,,,"Mpumalanga","African/Black","MP-Non Metro",5,2826.1113325,
,,,,"Total","African/Black","NC-Non Metro",3,1594.5496805,
,,,,,,"FS-Non Metro",2,929.7262629,
,,,,,,"KZN-Non Metro",18,9712.4903922,
,,,,,,"MP-Non Metro",5,2826.1113325,
,,"No, never","Yes","KwaZulu-Natal","African/Black","KZN-Non Metro",11,6114.3784875,
