SuperWEB2(tm)

"General Household Survey 2018"
"Usage of piped or tapwater, Safe to drink, Treatment of drinking water, Water supply interruption, PROVINCES, Population group and Metro Code by Summation Options"
"Counting: Person information, Person Weight"

,,,,,,"Summation Options","Person information","Person Weight",
"Usage of piped or tapwater","Safe to drink","Treatment of drinking water","Water supply interruption","PROVINCES","Population group","Metro Code",
,,,,"Total","African/Black","GP-City of Tswane",4,3063.0246046,
,,,,,,"MP-Non Metro",8,3911.181107,
,,,"No","Mpumalanga","African/Black","MP-Non Metro",5,3973.0738219,
,,,,,"Coloured","MP-Non Metro",1,609.0586264,
,,,,"Total","African/Black","MP-Non Metro",5,3973.0738219,
,,,,,"Coloured","MP-Non Metro",1,609.0586264,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",59,39869.9090585,
,,,,"Northern Cape","African/Black","NC-Non Metro",2,491.2010586,
,,,,,"Coloured","NC-Non Metro",3,1175.7794656,
,,,,"Free State","African/Black","FS-Non Metro",1,552.9803043,
,,,,,"White","FS-Mangaung",8,14616.2220937,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",55,60982.580503,
,,,,"North West","African/Black","NW-Non Metro",4,7128.4026084,
,,,,"Gauteng","African/Black","GP-City of Tswane",1,727.9556015,
,,,,"Mpumalanga","African/Black","MP-Non Metro",34,24561.1532582,
,,,,"Total","African/Black","EC-Non Metro",59,39869.9090585,
,,,,,,"NC-Non Metro",2,491.2010586,
,,,,,,"FS-Non Metro",1,552.9803043,
,,,,,,"KZN-Non Metro",55,60982.580503,
,,,,,,"NW-Non Metro",4,7128.4026084,
,,,,,,"GP-City of Tswane",1,727.9556015,
,,,,,,"MP-Non Metro",34,24561.1532582,
,,,,,"Coloured","NC-Non Metro",3,1175.7794656,
,,,,,"White","FS-Mangaung",8,14616.2220937,
,,"Yes, sometimes","No","KwaZulu-Natal","African/Black","KZN-eThekwini",3,1557.4666313,
,,,,"Total","African/Black","KZN-eThekwini",3,1557.4666313,
,,,"Not applicable","Western Cape","Coloured","WC-Non Metro",5,6689.951357,
,,,,"Eastern Cape","African/Black","EC-Non Metro",113,89997.0712864,
,,,,"Northern Cape","African/Black","NC-Non Metro",1,317.4287943,
,,,,"Free State","African/Black","FS-Non Metro",12,8934.0989662,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",171,120051.072648,
,,,,,"Coloured","KZN-Non Metro",1,870.7696627,
,,,,,"White","KZN-Non Metro",1,870.7696627,
,,,,"North West","African/Black","NW-Non Metro",3,4010.9353236,
,,,,"Gauteng","African/Black","GP-City of Tswane",1,504.8537745,
,,,,"Mpumalanga","African/Black","MP-Non Metro",37,22083.5954617,
,,,,"Total","African/Black","EC-Non Metro",113,89997.0712864,
,,,,,,"NC-Non Metro",1,317.4287943,
,,,,,,"FS-Non Metro",12,8934.0989662,
,,,,,,"KZN-Non Metro",171,120051.072648,
,,,,,,"NW-Non Metro",3,4010.9353236,
,,,,,,"GP-City of Tswane",1,504.8537745,
,,,,,,"MP-Non Metro",37,22083.5954617,
,,,,,"Coloured","WC-Non Metro",5,6689.951357,
,,,,,,"KZN-Non Metro",1,870.7696627,
,,,,,"White","KZN-Non Metro",1,870.7696627,
,,"No, never","Yes","Eastern Cape","African/Black","EC-Non Metro",3,1978.4608654,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",17,17160.7671813,
,,,,"North West","African/Black","NW-Non Metro",10,14809.1341681,
,,,,"Gauteng","African/Black","GP-City of Tswane",9,5399.5214945,
,,,,"Total","African/Black","EC-Non Metro",3,1978.4608654,
,,,,,,"KZN-Non Metro",17,17160.7671813,
,,,,,,"NW-Non Metro",10,14809.1341681,
,,,,,,"GP-City of Tswane",9,5399.5214945,
,,,"No","KwaZulu-Natal","African/Black","KZN-Non Metro",4,3763.9347158,
,,,,"North West","African/Black","NW-Non Metro",7,5325.7775768,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",4,2552.2294005,
,,,,"Total","African/Black","KZN-Non Metro",4,3763.9347158,
,,,,,,"NW-Non Metro",7,5325.7775768,
,,,,,,"GP-City of Johannesburg",4,2552.2294005,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",477,302685.0983787,
,,,,"Free State","African/Black","FS-Mangaung",3,1444.6395976,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",494,404487.4609166,
,,,,"North West","African/Black","NW-Non Metro",1,1114.6019717,
,,,,"Gauteng","African/Black","GP-City of Tswane",8,6156.4115525,
,,,,"Mpumalanga","African/Black","MP-Non Metro",15,8663.4969028,
,,,,"Total","African/Black","EC-Non Metro",477,302685.0983787,
,,,,,,"FS-Mangaung",3,1444.6395976,
,,,,,,"KZN-Non Metro",494,404487.4609166,
,,,,,,"NW-Non Metro",1,1114.6019717,
,,,,,,"GP-City of Tswane",8,6156.4115525,
,,,,,,"MP-Non Metro",15,8663.4969028,
,,,"Unspecified","Eastern Cape","African/Black","EC-Non Metro",6,5024.824882,
,,,,"Total","African/Black","EC-Non Metro",6,5024.824882,
,,"Unspecified","Not applicable","Eastern Cape","African/Black","EC-Non Metro",1,760.9657647,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",10,10269.370908,
,,,,"North West","African/Black","NW-Non Metro",8,6668.0331729,
,,,,"Total","African/Black","EC-Non Metro",1,760.9657647,
,,,,,,"KZN-Non Metro",10,10269.370908,
,,,,,,"NW-Non Metro",8,6668.0331729,
,"Unspecified","No, never","Not applicable","KwaZulu-Natal","African/Black","KZN-Non Metro",5,5613.6146145,
,,,,"Total","African/Black","KZN-Non Metro",5,5613.6146145,
"Not applicable","Yes","Yes, always","Yes","Western Cape","African/Black","WC-City of Capet own",8,7179.3987129,
,,,,,"Coloured","WC-Non Metro",8,2332.2531198,
,,,,,,"WC-City of Capet own",23,22754.7603518,
,,,,,"White","WC-Non Metro",4,4494.4930542,
,,,,,,"WC-City of Capet own",6,5375.913167,
,,,,"Eastern Cape","African/Black","EC-Non Metro",56,25458.0050724,
,,,,,,"EC-Buffalo City",11,8187.4003563,
,,,,,,"EC-Nelson Mandela Bay",3,419.1124773,
,,,,,"Coloured","EC-Non Metro",4,2185.4707256,
,,,,,"White","EC-Non Metro",4,6596.48272,
,,,,,,"EC-Buffalo City",2,1832.1815872,
,,,,"Northern Cape","African/Black","NC-Non Metro",129,44107.4796918,
,,,,,"Coloured","NC-Non Metro",35,12489.1517359,
,,,,,"White","NC-Non Metro",6,2339.8394279,
,,,,"Free State","African/Black","FS-Non Metro",21,19455.1842034,
,,,,,,"FS-Mangaung",24,20962.3791225,
,,,,,"Coloured","FS-Non Metro",4,1369.519682,
,,,,,"White","FS-Non Metro",2,1892.6653611,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",32,23239.2271587,
,,,,,,"KZN-eThekwini",4,1974.7609468,
,,,,,"White","KZN-eThekwini",7,7510.6310512,
,,,,"North West","African/Black","NW-Non Metro",29,25655.8003614,
,,,,,"Coloured","NW-Non Metro",4,6354.8568608,
,,,,"Gauteng","African/Black","GP-Non Metro",9,6691.8680904,
,,,,,,"GP-Erkurhuleni",18,16421.9868135,
,,,,,,"GP-City of Johannesburg",26,23424.6091192,
,,,,,,"GP-City of Tswane",6,9250.5307078,
,,,,,"Coloured","GP-Erkurhuleni",2,2080.601783,
,,,,,,"GP-City of Tswane",6,7658.0415822,
,,,,,"White","GP-Non Metro",3,2921.0182932,
,,,,,,"GP-Erkurhuleni",3,3454.4906202,
,,,,,,"GP-City of Johannesburg",7,15366.983274,
,,,,,,"GP-City of Tswane",20,26325.7940951,
,,,,"Mpumalanga","African/Black","MP-Non Metro",62,46910.6734701,
,,,,,"White","MP-Non Metro",5,4175.7309468,
,,,,"Limpopo","African/Black","LP-Non Metro",23,15616.1425682,
,,,,,"Indian/Asian","LP-Non Metro",3,3633.9210567,
,,,,,"White","LP-Non Metro",5,4026.9908749,
,,,,"Total","African/Black","WC-City of Capet own",8,7179.3987129,
,,,,,,"EC-Non Metro",56,25458.0050724,
,,,,,,"EC-Buffalo City",11,8187.4003563,
,,,,,,"EC-Nelson Mandela Bay",3,419.1124773,
,,,,,,"NC-Non Metro",129,44107.4796918,
,,,,,,"FS-Non Metro",21,19455.1842034,
,,,,,,"FS-Mangaung",24,20962.3791225,
,,,,,,"KZN-Non Metro",32,23239.2271587,
,,,,,,"KZN-eThekwini",4,1974.7609468,
,,,,,,"NW-Non Metro",29,25655.8003614,
,,,,,,"GP-Non Metro",9,6691.8680904,
,,,,,,"GP-Erkurhuleni",18,16421.9868135,
,,,,,,"GP-City of Johannesburg",26,23424.6091192,
,,,,,,"GP-City of Tswane",6,9250.5307078,
,,,,,,"MP-Non Metro",62,46910.6734701,
,,,,,,"LP-Non Metro",23,15616.1425682,
,,,,,"Coloured","WC-Non Metro",8,2332.2531198,
,,,,,,"WC-City of Capet own",23,22754.7603518,
,,,,,,"EC-Non Metro",4,2185.4707256,
,,,,,,"NC-Non Metro",35,12489.1517359,
,,,,,,"FS-Non Metro",4,1369.519682,
,,,,,,"NW-Non Metro",4,6354.8568608,
,,,,,,"GP-Erkurhuleni",2,2080.601783,
,,,,,,"GP-City of Tswane",6,7658.0415822,
,,,,,"Indian/Asian","LP-Non Metro",3,3633.9210567,
,,,,,"White","WC-Non Metro",4,4494.4930542,
,,,,,,"WC-City of Capet own",6,5375.913167,
,,,,,,"EC-Non Metro",4,6596.48272,
,,,,,,"EC-Buffalo City",2,1832.1815872,
,,,,,,"NC-Non Metro",6,2339.8394279,
,,,,,,"FS-Non Metro",2,1892.6653611,
,,,,,,"KZN-eThekwini",7,7510.6310512,
,,,,,,"GP-Non Metro",3,2921.0182932,
,,,,,,"GP-Erkurhuleni",3,3454.4906202,
,,,,,,"GP-City of Johannesburg",7,15366.983274,
,,,,,,"GP-City of Tswane",20,26325.7940951,
,,,,,,"MP-Non Metro",5,4175.7309468,
,,,,,,"LP-Non Metro",5,4026.9908749,
,,,"No","Western Cape","African/Black","WC-City of Capet own",75,68228.4647701,
,,,,,"Coloured","WC-Non Metro",12,14626.9134149,
,,,,,,"WC-City of Capet own",127,111069.6023988,
,,,,,"Indian/Asian","WC-City of Capet own",5,5687.7782477,
,,,,,"White","WC-Non Metro",18,23769.787333,
,,,,,,"WC-City of Capet own",248,247855.9586972,
,,,,"Eastern Cape","African/Black","EC-Non Metro",8,5223.4561292,
,,,,,,"EC-Buffalo City",1,508.8166481,
,,,,,"Coloured","EC-Non Metro",4,3126.5459142,
